Year,Month,Earnings
2000,December,3975929
2001,December,5299736
2002,December,6521579
2003,December,8068932
2004,December,9733512
2005,December,1112
2006,December,1481
2007,December,1730
2008,December,2023
2009,December,2023
2010,December,2067
2011,December,2209
2012,December,2343
2013,December,2430
2014,December,2582
2015,December,2930
2016,December,3257
2017,December,3662
2018,December,4938
2019,December,5465
2020,December,nan
