Categorii de terenuri si specii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii hectare, Valoare
Total, Regiunea NORD-VEST, Anul 2012, Mii hectare, 989.7
Total, Regiunea NORD-VEST, Anul 2013, Mii hectare, 990.6
Total, Regiunea NORD-VEST, Anul 2014, Mii hectare, 990.9
Total, Regiunea NORD-VEST, Anul 2015, Mii hectare, 992.6
Total, Regiunea NORD-VEST, Anul 2016, Mii hectare, 993.9
Total, Regiunea NORD-VEST, Anul 2017, Mii hectare, 994.6
Total, Regiunea NORD-VEST, Anul 2018, Mii hectare, 1000.4
Total, Regiunea NORD-VEST, Anul 2019, Mii hectare, 1001.9
Total, Bihor, Anul 1990, Mii hectare, 195.4
Total, Bihor, Anul 1991, Mii hectare, 195.4
Total, Bihor, Anul 1992, Mii hectare, 195.4
Total, Bihor, Anul 1993, Mii hectare, 191.7
Total, Bihor, Anul 1994, Mii hectare, 194.7
Total, Bihor, Anul 1995, Mii hectare, 195.3
Total, Bihor, Anul 1996, Mii hectare, 195.3
Total, Bihor, Anul 1997, Mii hectare, 195.3
Total, Bihor, Anul 1998, Mii hectare, 195.5
Total, Bihor, Anul 1999, Mii hectare, 195.5
Total, Bihor, Anul 2000, Mii hectare, 195.5
Total, Bihor, Anul 2001, Mii hectare, 195.6
Total, Bihor, Anul 2002, Mii hectare, 198.2
Total, Bihor, Anul 2003, Mii hectare, 195.4
Total, Bihor, Anul 2004, Mii hectare, 195.3
Total, Bihor, Anul 2005, Mii hectare, 193.4
Total, Bihor, Anul 2006, Mii hectare, 200.3
Total, Bihor, Anul 2007, Mii hectare, 206.7
Total, Bihor, Anul 2008, Mii hectare, 208.1
Total, Bihor, Anul 2009, Mii hectare, 209.2
Total, Bihor, Anul 2010, Mii hectare, 209.2
Total, Bihor, Anul 2011, Mii hectare, 209.2
Total, Bihor, Anul 2012, Mii hectare, 209.2
Total, Bihor, Anul 2013, Mii hectare, 209.2
Total, Bihor, Anul 2014, Mii hectare, 209.3
Total, Bihor, Anul 2015, Mii hectare, 209.3
Total, Bihor, Anul 2016, Mii hectare, 209.3
Total, Bihor, Anul 2017, Mii hectare, 209.4
Total, Bihor, Anul 2018, Mii hectare, 211.2
Total, Bihor, Anul 2019, Mii hectare, 211.2
Total, Bistrita-Nasaud, Anul 1990, Mii hectare, 189.5
Total, Bistrita-Nasaud, Anul 1991, Mii hectare, 189.9
Total, Bistrita-Nasaud, Anul 1992, Mii hectare, 189.9
Total, Bistrita-Nasaud, Anul 1993, Mii hectare, 189.9
Total, Bistrita-Nasaud, Anul 1994, Mii hectare, 190
Total, Bistrita-Nasaud, Anul 1995, Mii hectare, 189.8
Total, Bistrita-Nasaud, Anul 1996, Mii hectare, 188.6
Total, Bistrita-Nasaud, Anul 1997, Mii hectare, 189.7
Total, Bistrita-Nasaud, Anul 1998, Mii hectare, 189.6
Total, Bistrita-Nasaud, Anul 1999, Mii hectare, 189.6
Total, Bistrita-Nasaud, Anul 2000, Mii hectare, 189.8
Total, Bistrita-Nasaud, Anul 2001, Mii hectare, 189.8
Total, Bistrita-Nasaud, Anul 2002, Mii hectare, 200.8
Total, Bistrita-Nasaud, Anul 2003, Mii hectare, 190.3
Total, Bistrita-Nasaud, Anul 2004, Mii hectare, 190.3
Total, Bistrita-Nasaud, Anul 2005, Mii hectare, 192.7
Total, Bistrita-Nasaud, Anul 2006, Mii hectare, 191.8
Total, Bistrita-Nasaud, Anul 2007, Mii hectare, 192.1
Total, Bistrita-Nasaud, Anul 2008, Mii hectare, 190.9
Total, Bistrita-Nasaud, Anul 2009, Mii hectare, 192.3
Total, Bistrita-Nasaud, Anul 2010, Mii hectare, 192.4
Total, Bistrita-Nasaud, Anul 2011, Mii hectare, 192.3
Total, Bistrita-Nasaud, Anul 2012, Mii hectare, 192.4
Total, Bistrita-Nasaud, Anul 2013, Mii hectare, 192.5
Total, Bistrita-Nasaud, Anul 2014, Mii hectare, 192.5
Total, Bistrita-Nasaud, Anul 2015, Mii hectare, 192.5
Total, Bistrita-Nasaud, Anul 2016, Mii hectare, 192.5
Total, Bistrita-Nasaud, Anul 2017, Mii hectare, 192.4
Total, Bistrita-Nasaud, Anul 2018, Mii hectare, 192.6
Total, Bistrita-Nasaud, Anul 2019, Mii hectare, 192.6
Total, Cluj, Anul 1990, Mii hectare, 152.8
Total, Cluj, Anul 1991, Mii hectare, 152.8
Total, Cluj, Anul 1992, Mii hectare, 152.9
Total, Cluj, Anul 1993, Mii hectare, 152.9
Total, Cluj, Anul 1994, Mii hectare, 153.6
Total, Cluj, Anul 1995, Mii hectare, 152.8
Total, Cluj, Anul 1996, Mii hectare, 152.6
Total, Cluj, Anul 1997, Mii hectare, 152.6
Total, Cluj, Anul 1998, Mii hectare, 152.6
Total, Cluj, Anul 1999, Mii hectare, 152.6
Total, Cluj, Anul 2000, Mii hectare, 152.4
Total, Cluj, Anul 2001, Mii hectare, 152.3
Total, Cluj, Anul 2002, Mii hectare, 152.1
Total, Cluj, Anul 2003, Mii hectare, 152.3
Total, Cluj, Anul 2004, Mii hectare, 152.3
Total, Cluj, Anul 2005, Mii hectare, 155.6
Total, Cluj, Anul 2006, Mii hectare, 145.7
Total, Cluj, Anul 2007, Mii hectare, 147.5
Total, Cluj, Anul 2008, Mii hectare, 149.8
Total, Cluj, Anul 2009, Mii hectare, 149.5
Total, Cluj, Anul 2010, Mii hectare, 157.7
Total, Cluj, Anul 2011, Mii hectare, 159.9
Total, Cluj, Anul 2012, Mii hectare, 160.7
Total, Cluj, Anul 2013, Mii hectare, 161.3
Total, Cluj, Anul 2014, Mii hectare, 161.3
Total, Cluj, Anul 2015, Mii hectare, 162.7
Total, Cluj, Anul 2016, Mii hectare, 164.1
Total, Cluj, Anul 2017, Mii hectare, 164.6
Total, Cluj, Anul 2018, Mii hectare, 168.1
Total, Cluj, Anul 2019, Mii hectare, 169.6
Total, Maramures, Anul 1990, Mii hectare, 262.2
Total, Maramures, Anul 1991, Mii hectare, 262.2
Total, Maramures, Anul 1992, Mii hectare, 262.7
Total, Maramures, Anul 1993, Mii hectare, 262.6
Total, Maramures, Anul 1994, Mii hectare, 263.2
Total, Maramures, Anul 1995, Mii hectare, 263.1
Total, Maramures, Anul 1996, Mii hectare, 263.1
Total, Maramures, Anul 1997, Mii hectare, 263.2
Total, Maramures, Anul 1998, Mii hectare, 263
Total, Maramures, Anul 1999, Mii hectare, 263.1
Total, Maramures, Anul 2000, Mii hectare, 263
Total, Maramures, Anul 2001, Mii hectare, 263
Total, Maramures, Anul 2002, Mii hectare, 263
Total, Maramures, Anul 2003, Mii hectare, 265
Total, Maramures, Anul 2004, Mii hectare, 262.7
Total, Maramures, Anul 2005, Mii hectare, 263.3
Total, Maramures, Anul 2006, Mii hectare, 260
Total, Maramures, Anul 2007, Mii hectare, 255.3
Total, Maramures, Anul 2008, Mii hectare, 260
Total, Maramures, Anul 2009, Mii hectare, 259.8
Total, Maramures, Anul 2010, Mii hectare, 258.9
Total, Maramures, Anul 2011, Mii hectare, 258.6
Total, Maramures, Anul 2012, Mii hectare, 259
Total, Maramures, Anul 2013, Mii hectare, 259.1
Total, Maramures, Anul 2014, Mii hectare, 259.3
