Categorii de terenuri si specii de paduri, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii hectare, Valoare
Total, Regiunea VEST, Anul 2019, Mii hectare, 1067.1
Total, Arad, Anul 1990, Mii hectare, 203.4
Total, Arad, Anul 1991, Mii hectare, 203.4
Total, Arad, Anul 1992, Mii hectare, 203.4
Total, Arad, Anul 1993, Mii hectare, 207.2
Total, Arad, Anul 1994, Mii hectare, 203.7
Total, Arad, Anul 1995, Mii hectare, 203.4
Total, Arad, Anul 1996, Mii hectare, 203.5
Total, Arad, Anul 1997, Mii hectare, 203.5
Total, Arad, Anul 1998, Mii hectare, 203.5
Total, Arad, Anul 1999, Mii hectare, 203.6
Total, Arad, Anul 2000, Mii hectare, 203.4
Total, Arad, Anul 2001, Mii hectare, 203.5
Total, Arad, Anul 2002, Mii hectare, 204
Total, Arad, Anul 2003, Mii hectare, 201.7
Total, Arad, Anul 2004, Mii hectare, 201.7
Total, Arad, Anul 2005, Mii hectare, 200.8
Total, Arad, Anul 2006, Mii hectare, 200.8
Total, Arad, Anul 2007, Mii hectare, 204.4
Total, Arad, Anul 2008, Mii hectare, 205.1
Total, Arad, Anul 2009, Mii hectare, 207.7
Total, Arad, Anul 2010, Mii hectare, 210.4
Total, Arad, Anul 2011, Mii hectare, 211.5
Total, Arad, Anul 2012, Mii hectare, 211.5
Total, Arad, Anul 2013, Mii hectare, 211.5
Total, Arad, Anul 2014, Mii hectare, 211.5
Total, Arad, Anul 2015, Mii hectare, 211.5
Total, Arad, Anul 2016, Mii hectare, 211.5
Total, Arad, Anul 2017, Mii hectare, 211.5
Total, Arad, Anul 2018, Mii hectare, 211.7
Total, Arad, Anul 2019, Mii hectare, 211.7
Total, Caras-Severin, Anul 1990, Mii hectare, 391.2
Total, Caras-Severin, Anul 1991, Mii hectare, 391.2
Total, Caras-Severin, Anul 1992, Mii hectare, 391.1
Total, Caras-Severin, Anul 1993, Mii hectare, 391.2
Total, Caras-Severin, Anul 1994, Mii hectare, 390.5
Total, Caras-Severin, Anul 1995, Mii hectare, 390.6
Total, Caras-Severin, Anul 1996, Mii hectare, 390.6
Total, Caras-Severin, Anul 1997, Mii hectare, 390.4
Total, Caras-Severin, Anul 1998, Mii hectare, 389.4
Total, Caras-Severin, Anul 1999, Mii hectare, 389.1
Total, Caras-Severin, Anul 2000, Mii hectare, 389
Total, Caras-Severin, Anul 2001, Mii hectare, 389.1
Total, Caras-Severin, Anul 2002, Mii hectare, 389.1
Total, Caras-Severin, Anul 2003, Mii hectare, 388.8
Total, Caras-Severin, Anul 2004, Mii hectare, 388.9
Total, Caras-Severin, Anul 2005, Mii hectare, 389.1
Total, Caras-Severin, Anul 2006, Mii hectare, 403.4
Total, Caras-Severin, Anul 2007, Mii hectare, 403.6
Total, Caras-Severin, Anul 2008, Mii hectare, 403
Total, Caras-Severin, Anul 2009, Mii hectare, 403.3
Total, Caras-Severin, Anul 2010, Mii hectare, 409.7
Total, Caras-Severin, Anul 2011, Mii hectare, 410.4
Total, Caras-Severin, Anul 2012, Mii hectare, 410.9
Total, Caras-Severin, Anul 2013, Mii hectare, 415.7
Total, Caras-Severin, Anul 2014, Mii hectare, 416.2
Total, Caras-Severin, Anul 2015, Mii hectare, 420.4
Total, Caras-Severin, Anul 2016, Mii hectare, 421
Total, Caras-Severin, Anul 2017, Mii hectare, 421.3
Total, Caras-Severin, Anul 2018, Mii hectare, 427.7
Total, Caras-Severin, Anul 2019, Mii hectare, 430.8
Total, Hunedoara, Anul 1990, Mii hectare, 304.7
Total, Hunedoara, Anul 1991, Mii hectare, 304.7
Total, Hunedoara, Anul 1992, Mii hectare, 304.7
Total, Hunedoara, Anul 1993, Mii hectare, 303
Total, Hunedoara, Anul 1994, Mii hectare, 302.9
Total, Hunedoara, Anul 1995, Mii hectare, 309.2
Total, Hunedoara, Anul 1996, Mii hectare, 309.1
Total, Hunedoara, Anul 1997, Mii hectare, 309.1
Total, Hunedoara, Anul 1998, Mii hectare, 309
Total, Hunedoara, Anul 1999, Mii hectare, 309.3
Total, Hunedoara, Anul 2000, Mii hectare, 309.1
Total, Hunedoara, Anul 2001, Mii hectare, 309.1
Total, Hunedoara, Anul 2002, Mii hectare, 309.6
Total, Hunedoara, Anul 2003, Mii hectare, 309.7
Total, Hunedoara, Anul 2004, Mii hectare, 309.8
Total, Hunedoara, Anul 2005, Mii hectare, 309.9
Total, Hunedoara, Anul 2006, Mii hectare, 310.9
Total, Hunedoara, Anul 2007, Mii hectare, 310.9
Total, Hunedoara, Anul 2008, Mii hectare, 311
Total, Hunedoara, Anul 2009, Mii hectare, 311.6
Total, Hunedoara, Anul 2010, Mii hectare, 313.1
Total, Hunedoara, Anul 2011, Mii hectare, 313.7
Total, Hunedoara, Anul 2012, Mii hectare, 314.5
Total, Hunedoara, Anul 2013, Mii hectare, 315.2
Total, Hunedoara, Anul 2014, Mii hectare, 316.6
Total, Hunedoara, Anul 2015, Mii hectare, 317
Total, Hunedoara, Anul 2016, Mii hectare, 317.1
Total, Hunedoara, Anul 2017, Mii hectare, 317.5
Total, Hunedoara, Anul 2018, Mii hectare, 317.5
Total, Hunedoara, Anul 2019, Mii hectare, 317.5
Total, Timis, Anul 1990, Mii hectare, 100.9
Total, Timis, Anul 1991, Mii hectare, 100.9
Total, Timis, Anul 1992, Mii hectare, 101.1
Total, Timis, Anul 1993, Mii hectare, 101.1
Total, Timis, Anul 1994, Mii hectare, 101
Total, Timis, Anul 1995, Mii hectare, 101.1
Total, Timis, Anul 1996, Mii hectare, 101.1
Total, Timis, Anul 1997, Mii hectare, 101.3
Total, Timis, Anul 1998, Mii hectare, 101.3
Total, Timis, Anul 1999, Mii hectare, 101.3
Total, Timis, Anul 2000, Mii hectare, 101.8
Total, Timis, Anul 2001, Mii hectare, 101.8
Total, Timis, Anul 2002, Mii hectare, 101.5
Total, Timis, Anul 2003, Mii hectare, 102.8
Total, Timis, Anul 2004, Mii hectare, 102.7
Total, Timis, Anul 2005, Mii hectare, 102.9
Total, Timis, Anul 2006, Mii hectare, 103.1
Total, Timis, Anul 2007, Mii hectare, 104.5
Total, Timis, Anul 2008, Mii hectare, 105.1
Total, Timis, Anul 2009, Mii hectare, 104.5
Total, Timis, Anul 2010, Mii hectare, 104.8
Total, Timis, Anul 2011, Mii hectare, 104.9
Total, Timis, Anul 2012, Mii hectare, 105.2
Total, Timis, Anul 2013, Mii hectare, 105.3
Total, Timis, Anul 2014, Mii hectare, 105.3
Total, Timis, Anul 2015, Mii hectare, 105.2
Total, Timis, Anul 2016, Mii hectare, 105.2
Total, Timis, Anul 2017, Mii hectare, 106
Total, Timis, Anul 2018, Mii hectare, 105.9
Total, Timis, Anul 2019, Mii hectare, 107.1
Suprafata padurilor, TOTAL, Anul 1990, Mii hectare, 6252.3
Suprafata padurilor, TOTAL, Anul 1991, Mii hectare, 6253.4
Suprafata padurilor, TOTAL, Anul 1992, Mii hectare, 6253.5
Suprafata padurilor, TOTAL, Anul 1993, Mii hectare, 6249.2
Suprafata padurilor, TOTAL, Anul 1994, Mii hectare, 6245.8
Suprafata padurilor, TOTAL, Anul 1995, Mii hectare, 6244.7
Suprafata padurilor, TOTAL, Anul 1996, Mii hectare, 6240.2
Suprafata padurilor, TOTAL, Anul 1997, Mii hectare, 6236.6
Suprafata padurilor, TOTAL, Anul 1998, Mii hectare, 6227.4
Suprafata padurilor, TOTAL, Anul 1999, Mii hectare, 6225.8
Suprafata padurilor, TOTAL, Anul 2000, Mii hectare, 6223.1
Suprafata padurilor, TOTAL, Anul 2001, Mii hectare, 6225.1
Suprafata padurilor, TOTAL, Anul 2002, Mii hectare, 6239.5
Suprafata padurilor, TOTAL, Anul 2003, Mii hectare, 6221.3
Suprafata padurilor, TOTAL, Anul 2004, Mii hectare, 6222.5
Suprafata padurilor, TOTAL, Anul 2005, Mii hectare, 6233
Suprafata padurilor, TOTAL, Anul 2006, Mii hectare, 6272.3
Suprafata padurilor, TOTAL, Anul 2007, Mii hectare, 6314.9
Suprafata padurilor, TOTAL, Anul 2008, Mii hectare, 6308.9
Suprafata padurilor, TOTAL, Anul 2009, Mii hectare, 6334
Suprafata padurilor, TOTAL, Anul 2010, Mii hectare, 6353.7
Suprafata padurilor, TOTAL, Anul 2011, Mii hectare, 6364.9
Suprafata padurilor, TOTAL, Anul 2012, Mii hectare, 6372.8
Suprafata padurilor, TOTAL, Anul 2013, Mii hectare, 6380.6
Suprafata padurilor, TOTAL, Anul 2014, Mii hectare, 6387.3
Suprafata padurilor, TOTAL, Anul 2015, Mii hectare, 6398.8
Suprafata padurilor, TOTAL, Anul 2016, Mii hectare, 6404.4
Suprafata padurilor, TOTAL, Anul 2017, Mii hectare, 6405.8
Suprafata padurilor, TOTAL, Anul 2018, Mii hectare, 6418.2
Suprafata padurilor, TOTAL, Anul 2019, Mii hectare, 6427.3
Suprafata padurilor, MACROREGIUNEA UNU, Anul 1990, Mii hectare, 2119.7
Suprafata padurilor, MACROREGIUNEA UNU, Anul 1991, Mii hectare, 2120.8
Suprafata padurilor, MACROREGIUNEA UNU, Anul 1992, Mii hectare, 2122.3
Suprafata padurilor, MACROREGIUNEA UNU, Anul 1993, Mii hectare, 2117.5
Suprafata padurilor, MACROREGIUNEA UNU, Anul 1994, Mii hectare, 2118.3
Suprafata padurilor, MACROREGIUNEA UNU, Anul 1995, Mii hectare, 2118.1
Suprafata padurilor, MACROREGIUNEA UNU, Anul 1996, Mii hectare, 2116.7
Suprafata padurilor, MACROREGIUNEA UNU, Anul 1997, Mii hectare, 2116.4
Suprafata padurilor, MACROREGIUNEA UNU, Anul 1998, Mii hectare, 2112.8
Suprafata padurilor, MACROREGIUNEA UNU, Anul 1999, Mii hectare, 2112
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2000, Mii hectare, 2112.3
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2001, Mii hectare, 2113.6
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2002, Mii hectare, 2123.4
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2003, Mii hectare, 2116
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2004, Mii hectare, 2114.4
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2005, Mii hectare, 2121.8
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2006, Mii hectare, 2153.9
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2007, Mii hectare, 2182.9
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2008, Mii hectare, 2189.3
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2009, Mii hectare, 2196.9
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2010, Mii hectare, 2203.8
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2011, Mii hectare, 2210.8
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2012, Mii hectare, 2212.7
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2013, Mii hectare, 2216.2
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2014, Mii hectare, 2218
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2015, Mii hectare, 2216.7
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2016, Mii hectare, 2218.2
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2017, Mii hectare, 2218.7
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2018, Mii hectare, 2227.5
Suprafata padurilor, MACROREGIUNEA UNU, Anul 2019, Mii hectare, 2230.4
Suprafata padurilor, Regiunea NORD-VEST, Anul 1990, Mii hectare, 950
Suprafata padurilor, Regiunea NORD-VEST, Anul 1991, Mii hectare, 950.4
Suprafata padurilor, Regiunea NORD-VEST, Anul 1992, Mii hectare, 951.2
Suprafata padurilor, Regiunea NORD-VEST, Anul 1993, Mii hectare, 947.3
Suprafata padurilor, Regiunea NORD-VEST, Anul 1994, Mii hectare, 948.1
Suprafata padurilor, Regiunea NORD-VEST, Anul 1995, Mii hectare, 947.9
Suprafata padurilor, Regiunea NORD-VEST, Anul 1996, Mii hectare, 947.9
Suprafata padurilor, Regiunea NORD-VEST, Anul 1997, Mii hectare, 949.6
Suprafata padurilor, Regiunea NORD-VEST, Anul 1998, Mii hectare, 948
Suprafata padurilor, Regiunea NORD-VEST, Anul 1999, Mii hectare, 947.8
Suprafata padurilor, Regiunea NORD-VEST, Anul 2000, Mii hectare, 948.3
Suprafata padurilor, Regiunea NORD-VEST, Anul 2001, Mii hectare, 948.2
Suprafata padurilor, Regiunea NORD-VEST, Anul 2002, Mii hectare, 961.4
Suprafata padurilor, Regiunea NORD-VEST, Anul 2003, Mii hectare, 950.3
Suprafata padurilor, Regiunea NORD-VEST, Anul 2004, Mii hectare, 947.5
Suprafata padurilor, Regiunea NORD-VEST, Anul 2005, Mii hectare, 950.6
Suprafata padurilor, Regiunea NORD-VEST, Anul 2006, Mii hectare, 945.9
Suprafata padurilor, Regiunea NORD-VEST, Anul 2007, Mii hectare, 949.1
Suprafata padurilor, Regiunea NORD-VEST, Anul 2008, Mii hectare, 958.1
Suprafata padurilor, Regiunea NORD-VEST, Anul 2009, Mii hectare, 961.5
Suprafata padurilor, Regiunea NORD-VEST, Anul 2010, Mii hectare, 967.9
Suprafata padurilor, Regiunea NORD-VEST, Anul 2011, Mii hectare, 970.4
Suprafata padurilor, Regiunea NORD-VEST, Anul 2012, Mii hectare, 971.7
Suprafata padurilor, Regiunea NORD-VEST, Anul 2013, Mii hectare, 971.9
Suprafata padurilor, Regiunea NORD-VEST, Anul 2014, Mii hectare, 973
Suprafata padurilor, Regiunea NORD-VEST, Anul 2015, Mii hectare, 973.2
Suprafata padurilor, Regiunea NORD-VEST, Anul 2016, Mii hectare, 974.1
Suprafata padurilor, Regiunea NORD-VEST, Anul 2017, Mii hectare, 975.3
Suprafata padurilor, Regiunea NORD-VEST, Anul 2018, Mii hectare, 980.4
Suprafata padurilor, Regiunea NORD-VEST, Anul 2019, Mii hectare, 982
Suprafata padurilor, Bihor, Anul 1990, Mii hectare, 192.3
Suprafata padurilor, Bihor, Anul 1991, Mii hectare, 192.2
Suprafata padurilor, Bihor, Anul 1992, Mii hectare, 192.2
Suprafata padurilor, Bihor, Anul 1993, Mii hectare, 188.5
Suprafata padurilor, Bihor, Anul 1994, Mii hectare, 191.7
Suprafata padurilor, Bihor, Anul 1995, Mii hectare, 192.1
Suprafata padurilor, Bihor, Anul 1996, Mii hectare, 192.2
Suprafata padurilor, Bihor, Anul 1997, Mii hectare, 192.2
Suprafata padurilor, Bihor, Anul 1998, Mii hectare, 192.2
Suprafata padurilor, Bihor, Anul 1999, Mii hectare, 192.3
Suprafata padurilor, Bihor, Anul 2000, Mii hectare, 192.3
Suprafata padurilor, Bihor, Anul 2001, Mii hectare, 192.3
Suprafata padurilor, Bihor, Anul 2002, Mii hectare, 194.8
Suprafata padurilor, Bihor, Anul 2003, Mii hectare, 192.1
Suprafata padurilor, Bihor, Anul 2004, Mii hectare, 191.9
Suprafata padurilor, Bihor, Anul 2005, Mii hectare, 189.8
Suprafata padurilor, Bihor, Anul 2006, Mii hectare, 196.4
Suprafata padurilor, Bihor, Anul 2007, Mii hectare, 203.1
Suprafata padurilor, Bihor, Anul 2008, Mii hectare, 204.3
Suprafata padurilor, Bihor, Anul 2009, Mii hectare, 205.5
Suprafata padurilor, Bihor, Anul 2010, Mii hectare, 205.5
Suprafata padurilor, Bihor, Anul 2011, Mii hectare, 205.6
Suprafata padurilor, Bihor, Anul 2012, Mii hectare, 205.9
Suprafata padurilor, Bihor, Anul 2013, Mii hectare, 205.7
Suprafata padurilor, Bihor, Anul 2014, Mii hectare, 205.7
Suprafata padurilor, Bihor, Anul 2015, Mii hectare, 205.8
Suprafata padurilor, Bihor, Anul 2016, Mii hectare, 205.8
Suprafata padurilor, Bihor, Anul 2017, Mii hectare, 205.8
Suprafata padurilor, Bihor, Anul 2018, Mii hectare, 207.6
Suprafata padurilor, Bihor, Anul 2019, Mii hectare, 207.4
Suprafata padurilor, Bistrita-Nasaud, Anul 1990, Mii hectare, 187.9
Suprafata padurilor, Bistrita-Nasaud, Anul 1991, Mii hectare, 188.3
Suprafata padurilor, Bistrita-Nasaud, Anul 1992, Mii hectare, 188.4
Suprafata padurilor, Bistrita-Nasaud, Anul 1993, Mii hectare, 188.3
Suprafata padurilor, Bistrita-Nasaud, Anul 1994, Mii hectare, 187.2
Suprafata padurilor, Bistrita-Nasaud, Anul 1995, Mii hectare, 186.8
Suprafata padurilor, Bistrita-Nasaud, Anul 1996, Mii hectare, 185.4
Suprafata padurilor, Bistrita-Nasaud, Anul 1997, Mii hectare, 186.9
Suprafata padurilor, Bistrita-Nasaud, Anul 1998, Mii hectare, 186
Suprafata padurilor, Bistrita-Nasaud, Anul 1999, Mii hectare, 185.6
Suprafata padurilor, Bistrita-Nasaud, Anul 2000, Mii hectare, 186
Suprafata padurilor, Bistrita-Nasaud, Anul 2001, Mii hectare, 186.3
Suprafata padurilor, Bistrita-Nasaud, Anul 2002, Mii hectare, 197.3
Suprafata padurilor, Bistrita-Nasaud, Anul 2003, Mii hectare, 187
Suprafata padurilor, Bistrita-Nasaud, Anul 2004, Mii hectare, 186.6
Suprafata padurilor, Bistrita-Nasaud, Anul 2005, Mii hectare, 188.6
Suprafata padurilor, Bistrita-Nasaud, Anul 2006, Mii hectare, 187.5
Suprafata padurilor, Bistrita-Nasaud, Anul 2007, Mii hectare, 187.7
Suprafata padurilor, Bistrita-Nasaud, Anul 2008, Mii hectare, 186.1
Suprafata padurilor, Bistrita-Nasaud, Anul 2009, Mii hectare, 188.3
Suprafata padurilor, Bistrita-Nasaud, Anul 2010, Mii hectare, 188.7
Suprafata padurilor, Bistrita-Nasaud, Anul 2011, Mii hectare, 188.7
Suprafata padurilor, Bistrita-Nasaud, Anul 2012, Mii hectare, 188.8
Suprafata padurilor, Bistrita-Nasaud, Anul 2013, Mii hectare, 188.6
Suprafata padurilor, Bistrita-Nasaud, Anul 2014, Mii hectare, 188.7
Suprafata padurilor, Bistrita-Nasaud, Anul 2015, Mii hectare, 187.8
Suprafata padurilor, Bistrita-Nasaud, Anul 2016, Mii hectare, 187.6
Suprafata padurilor, Bistrita-Nasaud, Anul 2017, Mii hectare, 187.8
Suprafata padurilor, Bistrita-Nasaud, Anul 2018, Mii hectare, 188.1
Suprafata padurilor, Bistrita-Nasaud, Anul 2019, Mii hectare, 188.1
Suprafata padurilor, Cluj, Anul 1990, Mii hectare, 150.9
Suprafata padurilor, Cluj, Anul 1991, Mii hectare, 150.9
Suprafata padurilor, Cluj, Anul 1992, Mii hectare, 151.1
Suprafata padurilor, Cluj, Anul 1993, Mii hectare, 151.1
Suprafata padurilor, Cluj, Anul 1994, Mii hectare, 151.8
Suprafata padurilor, Cluj, Anul 1995, Mii hectare, 151
Suprafata padurilor, Cluj, Anul 1996, Mii hectare, 150.8
Suprafata padurilor, Cluj, Anul 1997, Mii hectare, 150.9
Suprafata padurilor, Cluj, Anul 1998, Mii hectare, 150.8
Suprafata padurilor, Cluj, Anul 1999, Mii hectare, 150.8
Suprafata padurilor, Cluj, Anul 2000, Mii hectare, 150.6
Suprafata padurilor, Cluj, Anul 2001, Mii hectare, 150.4
Suprafata padurilor, Cluj, Anul 2002, Mii hectare, 150.1
Suprafata padurilor, Cluj, Anul 2003, Mii hectare, 150.3
Suprafata padurilor, Cluj, Anul 2004, Mii hectare, 150.3
Suprafata padurilor, Cluj, Anul 2005, Mii hectare, 153.6
Suprafata padurilor, Cluj, Anul 2006, Mii hectare, 143.9
Suprafata padurilor, Cluj, Anul 2007, Mii hectare, 145.5
Suprafata padurilor, Cluj, Anul 2008, Mii hectare, 147.8
Suprafata padurilor, Cluj, Anul 2009, Mii hectare, 147.6
Suprafata padurilor, Cluj, Anul 2010, Mii hectare, 155.7
Suprafata padurilor, Cluj, Anul 2011, Mii hectare, 158.1
Suprafata padurilor, Cluj, Anul 2012, Mii hectare, 158.6
Suprafata padurilor, Cluj, Anul 2013, Mii hectare, 159.2
Suprafata padurilor, Cluj, Anul 2014, Mii hectare, 159.3
Suprafata padurilor, Cluj, Anul 2015, Mii hectare, 160.7
Suprafata padurilor, Cluj, Anul 2016, Mii hectare, 162.2
Suprafata padurilor, Cluj, Anul 2017, Mii hectare, 162.7
Suprafata padurilor, Cluj, Anul 2018, Mii hectare, 166
Suprafata padurilor, Cluj, Anul 2019, Mii hectare, 167.5
Suprafata padurilor, Maramures, Anul 1990, Mii hectare, 257.6
Suprafata padurilor, Maramures, Anul 1991, Mii hectare, 257.8
Suprafata padurilor, Maramures, Anul 1992, Mii hectare, 258.2
Suprafata padurilor, Maramures, Anul 1993, Mii hectare, 258
Suprafata padurilor, Maramures, Anul 1994, Mii hectare, 258.7
Suprafata padurilor, Maramures, Anul 1995, Mii hectare, 258.7
Suprafata padurilor, Maramures, Anul 1996, Mii hectare, 258.5
Suprafata padurilor, Maramures, Anul 1997, Mii hectare, 258.5
Suprafata padurilor, Maramures, Anul 1998, Mii hectare, 258
Suprafata padurilor, Maramures, Anul 1999, Mii hectare, 258.1
Suprafata padurilor, Maramures, Anul 2000, Mii hectare, 258.2
Suprafata padurilor, Maramures, Anul 2001, Mii hectare, 258
Suprafata padurilor, Maramures, Anul 2002, Mii hectare, 257.9
Suprafata padurilor, Maramures, Anul 2003, Mii hectare, 259.8
Suprafata padurilor, Maramures, Anul 2004, Mii hectare, 257.6
Suprafata padurilor, Maramures, Anul 2005, Mii hectare, 257.7
Suprafata padurilor, Maramures, Anul 2006, Mii hectare, 254.3
Suprafata padurilor, Maramures, Anul 2007, Mii hectare, 248.9
Suprafata padurilor, Maramures, Anul 2008, Mii hectare, 253.6
Suprafata padurilor, Maramures, Anul 2009, Mii hectare, 253.8
Suprafata padurilor, Maramures, Anul 2010, Mii hectare, 251.9
Suprafata padurilor, Maramures, Anul 2011, Mii hectare, 251.9
Suprafata padurilor, Maramures, Anul 2012, Mii hectare, 252.4
Suprafata padurilor, Maramures, Anul 2013, Mii hectare, 252.5
Suprafata padurilor, Maramures, Anul 2014, Mii hectare, 253.3
Suprafata padurilor, Maramures, Anul 2015, Mii hectare, 253
Suprafata padurilor, Maramures, Anul 2016, Mii hectare, 252.9
Suprafata padurilor, Maramures, Anul 2017, Mii hectare, 253.3
Suprafata padurilor, Maramures, Anul 2018, Mii hectare, 253.2
Suprafata padurilor, Maramures, Anul 2019, Mii hectare, 253.6
Suprafata padurilor, Satu Mare, Anul 1990, Mii hectare, 67.1
Suprafata padurilor, Satu Mare, Anul 1991, Mii hectare, 67.1
Suprafata padurilor, Satu Mare, Anul 1992, Mii hectare, 67
Suprafata padurilor, Satu Mare, Anul 1993, Mii hectare, 67.1
Suprafata padurilor, Satu Mare, Anul 1994, Mii hectare, 64.5
Suprafata padurilor, Satu Mare, Anul 1995, Mii hectare, 64.7
Suprafata padurilor, Satu Mare, Anul 1996, Mii hectare, 66.6
Suprafata padurilor, Satu Mare, Anul 1997, Mii hectare, 66.6
Suprafata padurilor, Satu Mare, Anul 1998, Mii hectare, 66.5
Suprafata padurilor, Satu Mare, Anul 1999, Mii hectare, 66.5
Suprafata padurilor, Satu Mare, Anul 2000, Mii hectare, 66.5
Suprafata padurilor, Satu Mare, Anul 2001, Mii hectare, 66.5
Suprafata padurilor, Satu Mare, Anul 2002, Mii hectare, 66.6
Suprafata padurilor, Satu Mare, Anul 2003, Mii hectare, 66.5
Suprafata padurilor, Satu Mare, Anul 2004, Mii hectare, 66.5
Suprafata padurilor, Satu Mare, Anul 2005, Mii hectare, 66.6
Suprafata padurilor, Satu Mare, Anul 2006, Mii hectare, 68.9
Suprafata padurilor, Satu Mare, Anul 2007, Mii hectare, 68.9
Suprafata padurilor, Satu Mare, Anul 2008, Mii hectare, 71.3
Suprafata padurilor, Satu Mare, Anul 2009, Mii hectare, 71.3
Suprafata padurilor, Satu Mare, Anul 2010, Mii hectare, 71.3
Suprafata padurilor, Satu Mare, Anul 2011, Mii hectare, 71.3
Suprafata padurilor, Satu Mare, Anul 2012, Mii hectare, 71.3
Suprafata padurilor, Satu Mare, Anul 2013, Mii hectare, 71.2
Suprafata padurilor, Satu Mare, Anul 2014, Mii hectare, 71.3
Suprafata padurilor, Satu Mare, Anul 2015, Mii hectare, 71.2
Suprafata padurilor, Satu Mare, Anul 2016, Mii hectare, 70.9
Suprafata padurilor, Satu Mare, Anul 2017, Mii hectare, 70.9
Suprafata padurilor, Satu Mare, Anul 2018, Mii hectare, 71
Suprafata padurilor, Satu Mare, Anul 2019, Mii hectare, 70.9
Suprafata padurilor, Salaj, Anul 1990, Mii hectare, 94.2
Suprafata padurilor, Salaj, Anul 1991, Mii hectare, 94.1
Suprafata padurilor, Salaj, Anul 1992, Mii hectare, 94.3
Suprafata padurilor, Salaj, Anul 1993, Mii hectare, 94.3
Suprafata padurilor, Salaj, Anul 1994, Mii hectare, 94.2
Suprafata padurilor, Salaj, Anul 1995, Mii hectare, 94.6
Suprafata padurilor, Salaj, Anul 1996, Mii hectare, 94.4
Suprafata padurilor, Salaj, Anul 1997, Mii hectare, 94.5
Suprafata padurilor, Salaj, Anul 1998, Mii hectare, 94.5
Suprafata padurilor, Salaj, Anul 1999, Mii hectare, 94.5
Suprafata padurilor, Salaj, Anul 2000, Mii hectare, 94.7
Suprafata padurilor, Salaj, Anul 2001, Mii hectare, 94.7
Suprafata padurilor, Salaj, Anul 2002, Mii hectare, 94.7
Suprafata padurilor, Salaj, Anul 2003, Mii hectare, 94.6
Suprafata padurilor, Salaj, Anul 2004, Mii hectare, 94.6
Suprafata padurilor, Salaj, Anul 2005, Mii hectare, 94.3
Suprafata padurilor, Salaj, Anul 2006, Mii hectare, 94.9
Suprafata padurilor, Salaj, Anul 2007, Mii hectare, 95
Suprafata padurilor, Salaj, Anul 2008, Mii hectare, 95
Suprafata padurilor, Salaj, Anul 2009, Mii hectare, 95
Suprafata padurilor, Salaj, Anul 2010, Mii hectare, 94.8
Suprafata padurilor, Salaj, Anul 2011, Mii hectare, 94.8
Suprafata padurilor, Salaj, Anul 2012, Mii hectare, 94.7
Suprafata padurilor, Salaj, Anul 2013, Mii hectare, 94.7
Suprafata padurilor, Salaj, Anul 2014, Mii hectare, 94.7
Suprafata padurilor, Salaj, Anul 2015, Mii hectare, 94.7
Suprafata padurilor, Salaj, Anul 2016, Mii hectare, 94.7
Suprafata padurilor, Salaj, Anul 2017, Mii hectare, 94.8
Suprafata padurilor, Salaj, Anul 2018, Mii hectare, 94.5
Suprafata padurilor, Salaj, Anul 2019, Mii hectare, 94.5
Suprafata padurilor, Regiunea CENTRU, Anul 1990, Mii hectare, 1169.7
Suprafata padurilor, Regiunea CENTRU, Anul 1991, Mii hectare, 1170.4
Suprafata padurilor, Regiunea CENTRU, Anul 1992, Mii hectare, 1171.1
Suprafata padurilor, Regiunea CENTRU, Anul 1993, Mii hectare, 1170.2
Suprafata padurilor, Regiunea CENTRU, Anul 1994, Mii hectare, 1170.2
Suprafata padurilor, Regiunea CENTRU, Anul 1995, Mii hectare, 1170.2
Suprafata padurilor, Regiunea CENTRU, Anul 1996, Mii hectare, 1168.8
Suprafata padurilor, Regiunea CENTRU, Anul 1997, Mii hectare, 1166.8
Suprafata padurilor, Regiunea CENTRU, Anul 1998, Mii hectare, 1164.8
Suprafata padurilor, Regiunea CENTRU, Anul 1999, Mii hectare, 1164.2
Suprafata padurilor, Regiunea CENTRU, Anul 2000, Mii hectare, 1164
Suprafata padurilor, Regiunea CENTRU, Anul 2001, Mii hectare, 1165.4
Suprafata padurilor, Regiunea CENTRU, Anul 2002, Mii hectare, 1162
Suprafata padurilor, Regiunea CENTRU, Anul 2003, Mii hectare, 1165.7
